type,year,authors,title,venue
communications,2007,"Battistelli Delphine,Chagnoux Marie",Représenter la dynamique énonciative et modale de textes,"TALN’07 (Traitement automatique du langage naturel 2007), Toulouse, 5-8 juin, 10 pages"
communications,2007,"Blais Antoine, Iana Atanassova, Jean-Pierre Declés, Mimi Zhang, Leila Zighem.",Discourse Automatic Annotation of Texts: an Application to Summarization,"FLAIRS 2007, Special Track ""Automatic Annotation and Information Retrieval : New Perspectives"", Key West, Floride, 9-11 Mai, [ ]"
communications,2007,"Boudard, Pognan","Développement d’approches convergentes pour un accès à un multilinguisme étranger. (un pour tous, tous pour un)","Colloque international « Diálogos em Intercompreensão », Lisbonne (Portugal)"
communications,2007,Boudon Pierre,Le champ kaléidoscopique de la représentation,"Actes du Colloque SCAN07, Liège, mai"
communications,2007,Chai Hyunzoo,Automatic Annotation for Korean - Approach based on the conceptual exploration method,"DEXA, Regensburg, Germany, 3-7 September 2007, [ ]"
communications,2007,"Chai Hyunzoo, Djioua Brahim, Le Priol Florence, Desclés Jean-Pierre",Korean Semantic Annotation on the EXCOM Platform,"The 21st Pacific Asia Conference on Language, Information and Computation, Seoul, Korea, 1-3 novembre 2007, [ ]"
communications,2007,Desclés Jean-Pierre,"Ontologies, Semantic Maps and Cognitive Scheme","keynote talk in Proceedings of the Twenteth International FLAIRS Conference, Key-West, Florida, 7-9 may, 412-418"
communications,2007,"Djioua Brahim, Desclés Jean-Pierre",Indexing Documents by Discourse and Semantic Contents from Automatic Annotations of Texts,"FLAIRS 2007, Special Track ""Automatic Annotation and Information Retrieval: New Perspectives, Key West, Floride,, 9-11 mai, 356-361"
communications,2007,"Djioua Brahim, Desclés Jean-Pierre, Mourad Ghassan",Annotation et indexation des flux RSS par des relations discursives de citation et de rencontre : le système FluxExcom,"""Analyse de texte par ordinateur, multilinguisme et applications"", 75e congrès de l'ACFAS, Trois-Rivières, Canada, 10-11 mai 2007, [ ]"
communications,2007,"Djioua Brahim, Jean-Pierre Desclés",Indexing Documents by Discourse and Semantic Contents from Automatic Annotations of Texts,"FLAIRS 2007, Special Track ""Automatic Annotation and Information Retrieval : New Perspectives"", Key West, Floride, 9-11 Mai, [ ]"
communications,2007,Elkhlifi Aymen et Faïz Rim,Machine Learning Approach for the Automatic Annotation of Events,"Proceedings of the 20th International FLAIRS 2007 - Special Track: Automatic Annotation and Information Retrieval: New Perspectives, D. Wilson and G. Sutcliffe (Editors), AAAI Press, California, 362-367"
communications,2007,"Foster Jennifer, Wagner Joachim, Seddah Djamé and van Genabith Josef",Adapting WSJ-Trained Parsers to the British National Corpus using In-Domain Self-Training,"Tenth International Conference on Parsing Technology (IWPT07), Prague, République Tchèque, Juillet"
communications,2007,Gorgatchev Bissera,The English Present Perfect and the Bulgarian Aorist : a Contrastive Corpus Study,"Colloque International de l’AFLiCo, Lille, 10-12 mai"
communications,2007,Gorgatchev Bissera,Les imperfectifs secondaires en bulgare : vers une perfectivation implicite,"Colloque JE Implicite – ERIAC, Rouen, 3-4 mai"
communications,2007,Gwiazdecka Ewa,Kilka uwag o dokonano&#347;ci w j&#281;zyku polskim i francuskim,"W. Chlopicki (red) Komunikacja mi&#281;dzykulturowa: perspektywy bada&#324; interdyscyplinarnych, J&#281;zyk a komunikacja 19, Tertium, Kraków"
communications,2007,Jackiewicz Agata,Objets de la prise en charge dans le discours rapporté,"Colloque international « Prise en charge / commitment », Anvers, 11-13 janvier 2007"
communications,2007,"Jambou Louis, Le Priol Florence",Un outil pour un nouveau savoir musical,"Digital Humanities 2007, University of Illinois, Urbana-Champaign, 4-7 Juin, 98-100 [ ]"
communications,2007,Kostov Jovan,"Locutoire, Illocutoire, Perlocutoire: les conditions de réussite de l’impératif","Journée d’étude Pragmatique et Rhétorique, Université de Perpignan"
communications,2007,"Kubo&#328;, Lopatková, Plátek, Pognan Patrice",A linguistically-based Segmentation of Complex Sentences,"FLAIRS 2007 (20th International Florida Artificial Intelligence Research Society Conference), Key West, Floride (USA)"
communications,2007,Le Priol Florence,ONTOBUILD : construire automatiquement une ontologie de domaine à partir d'un corpus,"""Analyse de texte par ordinateur, multilinguisme et applications"", 75e congrès de l'ACFAS, Trois-Rivières, Canada, 10-11 mai 2007, [ ]"
communications,2007,"Le Priol Florence, Djioua Brahim, Garcia Daniela",Automatic Annotation of Discourse and Semantic Relations supplemented by Terminology Extraction for Domain Ontology Building and Information Retrieval,"FLAIRS 2007, Special Track ""Automatic Annotation and Information Retrieval : New Perspectives"", Key West, Floride, 9-11 Mai, 374-379 [ ]"
communications,2007,Merkoulova Inna,Parler sans dire : le sujet passionné dans une pièce de Bernard-Marie Koltès [Govorit i ne skazat : strastnyj personaj odnoj piesy Bernara-Mari Koltesa],Actes du colloque La sémiotique contemporaine en dialogue avec les sciences humaines
communications,2007,Pascu Anca,Axiomatique et règles de la Logique de la Détermination d'Objets,"Actes du Colloque Attitudes et Actions dans le Discours, dans le cadre du congrès ACFAS « Esprit en Mouvement », Université du Québec à Trois Rivière, 7-11 mai, 543-545"
communications,2007,"Taïfi Miloud, Pognan Patrice",Pour une lexicographie berbère unilingue,"Colloque international « 4. Bayreuth-Frankfurt-Leidener Kolloquium zur Berberologie », Frankfurt am Main (Allemagne)"
communications,2007,Vinzerich Aude,Faut-il partir de la théorie des « mondes possibles » pour l’analyse sémantico-cognitive des modalités ?,"Deuxième colloque international de l’AFliCO, Lille, France, 10-12 mai"
communications,2007,Vinzerich Aude,Le marquage de la prise en charge en français : le cas de l’assertion,"Commitment 2007, Anvers, Belgique, 11-13 janvier"
communications,2007,"Wagner Joachim, Seddah Djamé, Foster Jennifer and van Genabith Josef",C-Structures and F-Structures for the British National Corpus,"Lexical Functional Grammar Conference (LFG07), Standford, EU, Juillet, 2006"
communications,2006,Abraham Maryvonne,L’Interprète de poche ou les problèmes d’un machine à traduire universelle,"GLAT 2006 : Aspects méthodologiques pour l'élaboration de lexiques unilingues et multilingues, Bertinoro, Italie, 17-20 mai, 209-220"
communications,2006,Abraham Maryvonne,Altération de la communication dialogique : le statut de la langue dans la palliation des troubles de la parole,"Handicap 2006 : 4ème conférence Nouvelles technologies au service de l'homme, Paris, France, 8-9 juin"
communications,2006,"Alrahabi Motasem ,Ibrahim Amr Helmy , Desclés Jean-Pierre",Semantic Annotation of Reported Information in Arabic,"FLAIRS 2006, Melbourne, Floride, 11-13 mai, 263-268 [ ]"
communications,2006,"Alrahabi Motasem, Djioua Brahim, Desclés Jean-Pierre",Annotation Sémantique des Énonciations en Arabe,"INFORSID 2006, Hammamet –Tunisie, 31 mai 2006, [ ]"
communications,2006,Amardeilh Florence,OntoPop or how to annotate documents and populate ontologies from texts,"Proceedings of the ESWC 2006 Workshop on Mastering the Gap: From Information Extraction to Semantic Representation, CEUR Workshop Proceedings, ISSN 1613-0073, Budva, Montenegro, 12 juin"
communications,2006,"Amardeilh Florence, Carloni Olivier, Noel Laurence",PressIndex: a Semantic Web Press Clipping Application,"Proceedings of the ISWC 2006 Semantic Web Challenge, Athens, Georgia, USA, 5-9 novembre"
communications,2006,Bentolila Fernand,L’adverbe en tamazight,"Linguistique descriptive et didactique de l'amazigh,, Agadir"
communications,2006,"Bertin Marc, Desclés Jean-Pierre, Djioua Brahim,Krushkov Yordan",Automatic Annotation in Text for Bibliometrics Use,"FLAIRS 2006, Melbourne, Floride, 11-13 mai, 313-316 [ ] [ ]"
communications,2006,"Bertin Marc, Desclés Jean-Pierre, Djioua Brahim,Krushkov Yordan",Bibliométrie et linguistique : Évaluation de la production scientifique et annotation sémantique,"CiDE.9, Friboug, 18-22 septembre"
communications,2006,"Bertin Marc, Desclés Jean-Pierre, Krushkov Yordan",Critique de la bibliométrie comme outil d'évaluation; vers une approche qualitative.,"Digital Humanities 2006, Paris, 5-9 juillet, 15-17 [ ]"
communications,2006,"Blais Antoine , Desclés Jean-Pierre , Djioua Brahim",Le résumé automatique dans la plate-forme EXCOM,"Digital Humanities 2006, Paris, 5-9 juillet, 31-33 [ ]"
communications,2006,Boudon Pierre,Totalisation et quantification discursive,"Actes du Colloque La relation Partie-Tout, sous la direction de G. Kleiber, C. Schnedeker et A. Theissen, Louvain-Paris, éd. Peeter, 735-749"
communications,2006,Desclés Jean-Pierre,Contextual Exploration Processing for Discourse Automatic Annotations of Texts,"FLAIRS 2006, Melbourne, Floride, 11-13 mai, Invited Speakers, 281-284 [ ]"
communications,2006,"Djioua Brahim , Jorge Garcia Flores, Antoine Blais, Jean Pierre Desclés, Guibert Gael, Agata Jackiewicz, Florence Le Priol, Nait-Baha Leila, Benoît Sauzay",EXCOM: an automatic annotation engine for semantic information,"FLAIRS 2006, Melbourne, Floride, 11-13 mai, 285-290 [ ]"
communications,2006,"Galitsky Boris, Pascu Anca",Epistemic Categorization for Analysis of Customer Complaints,"Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference, FLAIRS 2006, 291-297 [ ]"
communications,2006,"García-Flores Jorge, Ivanova Elena, Djioua Brahim, Desclés Jean-Pierre",Annotation automatique des relations de contrôle dans des spécification de besoins informatiques,"Traitement Automatique du Langage Naturel 2006 (TALN06), Presses Universitaires de Louvain, Louvain, Belgique, 10-13 Avril, [ ]"
communications,2006,Gorgatchev Bissera,The Bulgarian Perfect : an Aspectual study,"Proceedings from FASSBL ,5 : International Conference on FASSBL, Sofia, 18-20 octobre"
communications,2006,Ibrahim Amr Helmy,1798-1976 Le français référentiaire des élites égyptiennes,"Colloque International, Le Français langue des élites, (SIHFLES), Istamboul – Univ. Galata Saray, 7-9 novembre"
communications,2006,"Kubo&#328;, Lopatková, Plátek, Pognan Patrice",Segmentation of Complex Sentences,"TSD (Text, Speech and Dialogue), Brno (République tchèque)"
communications,2006,"Kubo&#328;, Lopatková, Plátek, Pognan Patrice",O segmentaci &#269;eských v&#283;t (A propos de la segmentation des phrases tchèques),"ITAT, Bratislava / Košice (Slovaquie)"
communications,2006,"Le Priol Florence , Blais Antoine, Desclés Jean-Pierre, Djioua Brahim, Garcia-Flores Jorge, Guibert Gaëll, Jackiewicz Agata, Nait-Baha Leila, Sauzay Benoît",Automatic annotation of localization and identification relations in platform EXCOM,"FLAIRS 2006, Melbourne, Floride, 11-13 mai, 307-312 [ ] [ ]"
communications,2006,"Le Priol Florence, Desclés Jean-Pierre, Djioua Brahim, Carine Le Kien Van","LOGIC, un outil en ligne, dynamique et interactif aux services de l'enseignement de la logique aux apprenants des disciplines d'humanités","TICE 2006, Toulouse, 25-27 octobre"
communications,2006,"Le Priol Florence, Desclés Jean-Pierre, Djioua Brahim, Le Kien Van Carine","Communication and information technologies used for logic teaching to the disciplines of humanities students : LOGIC, an on line tool, dynamics and interactive","Digital Humanities 2006, Paris, 5-9 juillet, 121-125 [ ] [ ]"
communications,2006,"Passant Alexandre, Sta Jean-David, Laublet Philippe",Adopting Folksonomies in a corporate context,"Conférence Blogtalk Reloaded, Vienne, Octobre 2006"
communications,2006,Pognan Patrice,Apprendre le tamazight dans une approche linguistique plurielle,"Colloque Linguistique descriptive et didactique de l’amazigh, Agadir (Maroc)"
communications,2006,"Seddah Djamé, Sagot Benoît",Modélisation et analyse des coordinations elliptiques via l'exploitation dynamique des forêts de dérivation,"Traitement automatique des Langues Naturelles 2006 (TALN06), Louvain, Belgique"
communications,2006,Vinzerich Aude,Référentiel des possibles : représentation de situations potentielles et irréelles,"Chronos 7, Temps verbaux et modalit, Anvers, Belgique, 18-20 septembre"
communications,2006,Zarri Gian Piedro,Modeling and Advanced Exploitation of eChronicle ‘Narrative’ Information,"Proceedings of the 22nd International Conference on Data Engineering Workshops – ICDE Workshop on eChronicles (ICDEW’06), IEEE Computer Society Press., Los Alamitos (CA), 2005"
communications,2005,"Amardheil Florence, Laublet Philippe, Minel Jean-Luc",Document Annotation and Ontology Population form Linguistic Extractions,"KCap (Third International Conference on Knowledge Capture), Banff, Canada, 2-5 Octobre"
communications,2005,Bentolila Fernand,La description morphologique du verbe en français,"Journées d’études Langue, Communication, Informatique, Oujda"
communications,2005,Bentolila Fernand,Description linguistique et didactique: simplifier pour comprendre et faire comprendre,"Linguistique berbère: les nouveaux horizons, Tétouan"
communications,2005,"Bertino, E., Ferrari, E., Perego, A., and Zarri Gian-Pedro",An Integrated Approach to Rating and Filtering Web Content,"Innovations in Applied Artificial Intelligence: 18th International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems, IEA/AIE 2005 (Lectures Notes in Computer Science 3533), Moonis, A., and Esposito, F., eds. Heidelberg: Springer Verlag."
communications,2005,"Bertino, E., Ferrari, E., Perego, A., and Zarri, G.P.",A Multi-strategy Approach to Rating and Filtering Online Resources,"Database and Expert Systems Applications - Proceedings of the 16th International Conference, DEXA’05. Los Alamitos (CA): IEEE Computer Society Press."
communications,2005,"Couto Javier, Lundquist Lita, Minel Jean-Luc",Navigation interactive pour l'apprentissage en linguistique textuelle,"EIAH 2005, Montpellier"
communications,2005,Couto Javier; Lundquist Linda; Minel Jean-Luc,Using NaviTexte to teach French as a second language,"Recent Research Developments in Learning Technologies, Carcerès, Espagne"
communications,2005,"Desclés Jean-Pierre, Djioua Brahim",Using Combinatory Logic for a synthesis and an analysis of meaning,"First World Congress and School on Universal Logic (UNILOG’05), Montreux –Switzerland, march 26th - april 3rd"
communications,2005,"Desclés Jean-Pierre, Pascu Anca",Logic of Determination of Objects : the meaning of variable in quantification,"Flairs 2005, edited by AAAI Press, Floride, 610-616 [ ]"
communications,2005,"Georgiev N.,Labat Jean-Marc, Minel Jean-Luc, Nicolas L.",SUPERVISED DATA EXTRACTION,"IADIS, WWW/Internet 2005, Lisbonne"
communications,2005,Gwiazdecka Ewa,La préposition et le préverbe comme opérateurs sur des lieux abstraits,"Semantic relations in Language and Culture, 24-26 X, Bia&#322;ystok, 115-124"
communications,2005,Ibrahim Amr Helmy,Light verbs in Standard and Egyptian Arabic,"Perspectives in Arabic Linguistics, Papers from the Annual Symposium on Arabic Linguistics (Proceedings of the 2003 Alexandria 17th Symposium - Mohammad T. Alhawary &amp; Elabbas Benmamoun eds), Amsterdam: John Benjamins Publishing Company, 116-129"
communications,2005,Ibrahim Amr Helmy,Lexicon Grammar within Defining Matrix Analysis Model,"Human Language Technologies as a Challenge for Computer Science and Linguistics - In memory of Maurice Gross and Antonio Zampoli, Proceedings of the 2nd Language &amp; Technology Conference, Poznan, Poland, 196-200 [ ]"
communications,2005,"Isaac Antoine, Troncy Raphaël",Using Several Ontologies for Describing Audiovisual Documents : A Case Study in the Medical Domain.,"Workshop on Multimedia and the Semantic Web, Second European Semantic Web Conference (ESWC 2005), Heraklion, Crete"
communications,2005,Kostov Jovan,Discours et tendances post-communistes : Macédoine (1990-2004),"Journée d’études sur l’éveil des nationalités et les revendications linguistiques, groupe de recherches ARSER, DIPRALANG, Université Paul Valéry, Montpellier, publié in Djordjevic K. Kostov J. &amp; all. , A l’Est du nouveau ?, Paris, L’Harmattan,, 29-44"
communications,2005,Kostov Jovan,Quelle politique pour enseigner et diffuser les langues minoritaires en Macédoine ?,"Colloque international sur l’école et les langues minoritaires Université de Perpignan, publié in Burban C. &amp; Lagarde C. , L’Ecole, instrument de sauvegarde des langues menacées., Presses Universitaires de Perpignan, 97-107"
communications,2005,"Passant Alexandre, Laublet Philippe, Testard-Vaillant François-Xavier",Annotation and Collaborative Work : a Corporate Approach,"International Workshop « Annotation for Collaboration », Paris, Novembre 2005, 133-142 [ ]"
communications,2005,Pognan Patrice,"Informatique et bureautique à l'appui de stratégies pédagogiques pour l'enseignement de langues du Maroc (français, arabe marocain, berbère)","Journées d’études Langue, Communication, Informatique, Oujda (Maroc)"
communications,2005,"Taïfi Miloud, Pognan Patrice",Langues berbères: à la recherche du système perdu,"Colloque international « Linguistique amazighe: les nouveaux horizons », Tétouan (Maroc)"
communications,2005,Zarri Gian Piedro,Conceptual Modelling (and Problem Solving Techniques) for Complex Narrative Events,"Proceedings of the 15th European-Japanese Conference on Information Modelling and Knowledge Bases, Kiyoki, Y., Kangassalo, H., Jaakkola, H., and Henno, J., eds. Tallinn: Tallinn University of Technology Press."
communications,2005,Zarri Gian Piedro,Semantic/Conceptual Annotations Making Use of the NKRL Technology,"Proceedings of the International Workshop on Annotation for Collaboration – Methods, Tools and Practices, Boujut, J.-F., ed. Paris: CNRS."
communications,2005,Zarri Gian Piedro,An n-ary Language for Representing Narrative Information on the Web,"SWAP 2005, Semantic Web Applications and Perspectives – Proceedings of the 2nd Italian Semantic Web Workshop (CEUR-WS.org/Vol-166), Boquet, P., and Tummarello, G., eds., Aachen: Sun SITE Central Europe (CEUR, http://SunSITE.Informatik.RWTH-Aachen.DE/Publications/CEUR-WS/), 2004"
communications,2004,Abbou André,Analyse des marques lexicales et logiques du discours éthique dans lœuvre dAlbert Camus,"Colloque de American University of Paris, septembre"
communications,2004,"Aloulou C, Hadrich Belguith L, Mourad Ghassan, Ben Hamadou A.",La segmentation de textes en phrases dans le système MASPAR,"Eighth Maghrebian Conference on Software, Engineering and Artificial Intelligence, Marhaba-Sousse, 10-12 mai"
communications,2004,"Alrahabi Motasem, Mourad Ghassan, Djioua Brahim",Filtrage sémantique de textes en arabe,"JEP-TALN, Fès, 19-22 avril, [ ]"
communications,2004,"Battistelli Delphine, Chagnoux Marie",Contraintes linguistiques et calcul de lordonnancement temporel dans les textes,"Chronos 6, Genève, Suisse, 22-24 septembre"
communications,2004,"Battistelli Delphine, Minel Jean-Luc, Picard Etienne, Schwer Sylviane",Temporalité linguistique et S-Langages,"TALN’04 (Traitement automatique du langage naturel 2004), Fès, Maroc, 19-22 avril, 33-38"
communications,2004,Behnami Shahnaz,Identification et Extraction Automatique des Formules Scientifiques et leurs Commentaires Textuels,"Colloque international en Sciences Électroniques, Technologies de lInformation et des Télécommunications (Setit 2004), Sousse, Tunisie, 2004"
communications,2004,Behnami Shahnaz,Automatic Matching and Associating for Extraction of E-document Components,"Word Scientific and Engineering Academy and Society (WSEAS), Crete Island, Greece"
communications,2004,Behnami Shahnaz,Filimage System : Webs Images and Texts Automatic Extraction,"Word Scientific and Engineering Academy and Society (WSEAS), Izmir, Turkey"
communications,2004,"Cardot Jérome., Schwer Sylviane",Documents scientifiques structurés: modèle et outils décriture. Sciences et écritures,"Colloque international pluridisciplinaire, Besançon, 13-14 mai"
communications,2004,"Couto Javier, Minel Jean-Luc",Interfaces dynamiques de fouilles textuelles (Dynamic Tools to Rummage through TextualData),"RIAO, Avignon, 420-430 [ ]"
communications,2004,"Couto Javier, Minel Jean-Luc",Outils dynamiques de fouille textuelles,"RIAO, Avignon, 420-430"
communications,2004,Crispino Gustavo,"Des outils formels pour exprimer des connaissances linguistiques à niveau textuel, Regards croisés sur lunité texte","Regards croisés sur l'unité texte, Chypre, mars"
communications,2004,"Crispino Gustavo, Jackiewicz Agata, Minel Jean-Luc",Spécification et implantation informatique d’un langage de description des structures discursives,"TALN, Fès, 131-136"
communications,2004,"Daynovska Denitsa, Desclés Jean-Pierre",A cognitive modeling of the semantic relation between prepositions and preverbs in Bulgarian: V and IZ,"Text Procesing and Cognitive Technologies n°9, Varna, 4-10 septembre, 52-61 [ ]"
communications,2004,"Freund Michael, Desclés Jean-Pierre, Pascu Anca, Cardot Jérome","Typicality, contextual inferences and object determination logic","FLAIRS 04, Miami, mai, 491-495"
communications,2004,Garcia-Flores Jorge,Processing of Natural Language Requirements: The Contextual Exploration Approach,"10th International Workshop on Requirements Engineering: Foundation for Software Quality, REFSQ 2004, Létonie, [ ]"
communications,2004,Garcia-Flores Jorge,Semantic Filtering of Textual Requirements Descriptions,"9th International Conference on Applications of Natural Language to Information Systems, Salford, Grande Bretagne, [ ]"
communications,2004,"Goulet Marie-José, Bourgeoys J",Le projet GÉRAF: Guide pour lÉvaluation des Résumés Automatiques Français,"TALN, Fès, 215-220"
communications,2004,"Jeanneret Yves, Labelle Sarah",Le texte de réseau comme méta-forme,"Colloque Culture, savoirs, supports, médiations : le texte nest-il quune métaphore ?, Université de Thessalonique"
communications,2004,Mourad Ghassan,Comments on the graphical - and functional - origins of the comma,"EuroTeX : XIVe conférence TeX européenne 2003, Brest, 24-27 juin"
communications,2004,Mourad Ghassan,New reading and writing signs for electronic documents: Example of the pointed index finger and hypertext signs,"EuroTeX : XIVe conférence TeX européenne 2003, Brest, 24-27 juin"
communications,2004,Schwer Sylviane R.,Traitement de la temporalité des discours : une analysis situs,"Chronos 2004, Genève, 22-24 septembre"
communications,2004,"Spiliopoulou, M., Rinaldi, F., Black, W.J., and Zarri Gian Piedro",Coupling Information Extraction and Data Mining for Ontology Learning in PARMENIDES,"RIAO 2004 Conference – Coupling Approaches, Coupling Media and Coupling Languages for Information Retreival., Paris: C.I.D, 2003"
communications,2003,Abraham Maryvonne,des pictogrammes pour communiquer,"SETIT (Sciences Electroniques, Technologies de l'Information et des Télécommunications), Sousse"
communications,2003,Behnami Shahnaz,Filtrage automatique des composantes textuelles-visuelles en vue dun appariement,"Colloque international en Sciences Électroniques, Technologies de lInformation et des Télécommunications (Setit 2003), Sousse, Tunisie"
communications,2003,Berthelot-Guiet Karine,Langue française et publicité : mouvements de lexique,"VI Congrès International de l'Université de Grenade, Grenade, 4-6 novembre"
communications,2003,Berthelot-Guiet Karine,Pour un modèle dintégration lexicale dynamique,"Colloque International des Linguistes-CIL17, Prague, 24-29 juillet"
communications,2003,Bouhafs Asma,"Extraction dinformations pertinentes sur le Web selon un point de vue utilisateur, pour un objectif de veille (Projet OLETT)","Conférence Internationale SETIT2003, Sousse, Tunisie"
communications,2003,Cardot Jérome,Logique de la détermination d'objets: un formalisme pour la représentation des objets du discours,"Actas del VIIIvo simposio internacional de comunicación social, Santiago de Cuba, janvier, 115-120 [ ]"
communications,2003,Cardot Jérome,Formalizing determination and typicality with LDO,"Proceedings of the Eighth ESSLLI Student Session, Wien, août, 35-45 [ ]"
communications,2003,"Caviglia S, Couto Javier, Rosa A, Wonsever Dina",Reconocimiento de indicadores de inicio de proposición en español,"VIII Simposio Internacional de Comunicación Social, Santiago de Cuba, Cuba"
communications,2003,"Chagnoux Marie, Ben Hazez Slim, Desclés Jean-Pierre",Identification automatique des valeurs temporelles dans les textes,"TALN 2003, Batz sur mer, [ ]"
communications,2003,Goulet Marie-José,Evaluation methods for French automatic summaries,"38th Linguistic Colloquium, Piliscsaba, Hongrie, 27-29 août"
communications,2003,"Isaac Antoine, Troncy R. and Malaise V.",Using XSLT for Interoperability: DOE and the Travelling Domain Experiment,"2nd International Workshop onEvaluation of Ontology-based Tools, EON2003, Sanibel Island, Florida, [ ]"
communications,2003,"Jaccarini André, Mourad Ghassan, Gaubert C et Djioua Brahim",Logiciel pour la mise au point de grammaires pour le filtrage dinformation en arabe (cas de linformation citationnelle).,"TALN 2003, Batz-sur-Mer, 11-14 juin"
communications,2003,"Jackiewicz Agata, Minel Jean-Luc",identification des structures discursives engendrées par les cadres organisationnels,"TALN 2003, Batz sur Mer, 155-164 [ ]"
communications,2003,Jeanneret Yves,Le procès de numérisation de la culture : un défi pour la pensée du texte,"Colloque La digitalizzatione delleredità culturale, Urbino, centre de sémiotique"
communications,2003,Lemay Linda,Analyse automatique du slovaque. Analyseur morphologique,"SLOVKO 2003 (la référence slovaque pour le traitement automatique des langues, en particulier slaves), Bratislava, Slovaquie, 24-25 octobre, [ ]"
communications,2003,"Mourad Ghassan , Desclés Jean-Pierre",Identification et extraction automatique des informations citationnelles dans un texte,"Ci-Dit, [ ]"
communications,2003,Park Wonsil,Causalité et raisonnements dans le diagnostic médical,"SETIT 2003, Sousse, Tunisie"
communications,2003,"Pascu Anca, Desclés Jean-Pierre, Carpentier François-Gilles",Object determination logic quantification - a system for natural language processing,"FLAIRS 2003, St Augustine, Floride, 12-14 mai, [ ]"
communications,2003,"Rinaldi, F., Dowdall, J., Hess, M., Ellman, J., Zarri Gian Piedro., Persidis, A., Bernard, L., and Karanikas, H",Multilayer Annotations in PARMENIDES,"Proceedings of the K-CAP (International Conference on Knowledge Capture) 2003 Workshop on Knowledge Markup and Semantic Annotation, New York: ACM"
communications,2003,"Rinaldi, F., Dowdall, J., Hess, M., Kaljurand, K., Persidis, A., Theodoulidis, B., Black, B., McNaught, J., Karanikas, H., Vasilakopoulos, A., Zervanou, K., Bernard, L., Zarri Gian Piedro., Bruins Slot, H., van der Touw, C., Daniel-King, M., Underwood, N., Lisowska, A., van der Plas, L., Sauron, V., Spiliopoulou, M., Brunzel, M., Ellman, J., Orphanos, G., Mavroudakis, T., and Taraviras, S",PARMENIDES: An Opportunity for ISO TC37 SC4?,"Proceedings of the ACL-2003 Workshop on Linguistic Annotation. Association for Computational Linguistics, East Stroudsburg (PA)"
communications,2003,Souchier Emmanuel,"Outils, langages &amp; mémoires … vers une «société du texte» ?","Les objets décriture. Interfaces et interactivité, Centro Internazionale di Semiotica e Linguistica, Università degli Studi di Urbino, Italie, 14-16 juillet"
communications,2003,Zarri Gian Piedro,Semantic Annotations and Semantic Web Usingt NKRL (Narrative Knowledge Representation Language),"Proceedings of the Fifth International Conference on Entreprise Information Systems – ICEIS03, vol. 2. Setubal (Portugal) : Escola Superior de Tecnologia, 2002"
communications,2002,Abraham Maryvonne,"parties du discours: sémantique, perception, cognition – le domaine de l’audible","actes d’eurosem 2000 « visualiser le lexiqque verbal de l’audible ? » Presses Universitaires de Reims, n° 17, 17-31 [ ]"
communications,2002,Abraham Maryvonne,comment écrire la langue dans une communication palliative vocalisée ?,"2ème conférence pour l’essor des technologies d’assistance, congrès handicap 2002, 149-155 [ ]"
communications,2002,Abraham Maryvonne,alternative communication in the case of speech impairment,"IEEE, Hammamet"
communications,2002,"Amghar Tassadit, Battistelli Delphine, Charnois Thierry",Reasoning on aspectual temporal information in French within Conceptual Graphs,"14th IEEE ICTAI (International Conference on Tools with Artificial Intelligence), Washington D.C., 4-6 novembre"
communications,2002,"Bachimont Bruno, Isaac Antoine, Troncy Raphaël",Semantic Commitment for Designing Ontologies : a Proposal.,"13th International Conference EKAW'02, Espagne, [ ]"
communications,2002,Djioua Brahim,Quel système informatique pour la représentation et l'utilisation des significations verbales représentées sous forme de schèmes sémantico-cognitifs ?,"Proceedings of the International Symposium of Arabic, University of Manouba, Tunisia, Faculty of Arts, Department of Arabic, 237-261 [ ]"
communications,2002,"Farzindar Atefeh , Saggion Horacio , Lapalme Guy",Summaries with SumUM and its Expansion for Document Understanding,"Conference (DUC2002) , In Proceedings of the Document Understanding Conference, Philadelphia, PA, [ ]"
communications,2002,Gorgatchev Bissera,Le present perfect résultatif : marqueurs aspectuels,"Chronos, (Cinquieme Colloque), Gröningen, juin, [ ]"
communications,2002,Jackiewicz Agata,Repérage et délimitation des cadres organisationnels pour la segmentation automatique des textes,"CIFT’02 : Colloque International sur la Fouille de Textes, Hammamet – Tunisie, 95-107 [ ]"
communications,2002,"Ladouceur J, Goulet Marie-José",The use of multi-word unit networks in natural language processing,"Actes du 37th Linguistic Colloquium, Jena (Allemagne), 25-27 septembre, 363-372"
communications,2002,"Mourad Ghassan, Schrepfer André Géraldine",Le repérage automatique des segments textuels de discours rapporté au moyen des selon X énonciatifs,"CIDE 2002, 5e Colloque International sur le Document Électronique, 20-23 Octobre, [ ]"
communications,2002,Nava Maria,Resource integration and customization for automatic hypertext information retrieval in a corporate setting.,"Language Resources and Evaluation Conference (LREC 2002), [ ]"
communications,2002,"Pascu Anca., Carpentier François-Gilles",Object Determination Logic - A Categorization System,"FLAIRS2002, Pensacola, Florida"
communications,2002,Pascu Anca; Carpentier François-Gilles,Object Determination Logic - System of Categorization,"Proceedings on the Fifteenth International Florida Artificial Intelligence Research Society, AAAI Press, [ ]"
